Grid Search Summary
================================================================================

Sorted by best validation loss
--------------------------------------------------------------------------------
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001 | model=lstm | val=5.6412 | test=5.6068 | ppl=272.26 | bleu=3.7511465378825476e-10 | bigram=0.0 | trigram=0.0 | spell=0.8416907216209919
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K10 | model=attention_lstm | val=5.6429 | test=5.6190 | ppl=275.62 | bleu=3.8423044168781393e-10 | bigram=0.0 | trigram=0.0 | spell=0.8395884354582854
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p3_LR0p0005 | model=lstm | val=5.6444 | test=5.6122 | ppl=273.74 | bleu=3.7436296237356643e-10 | bigram=0.0 | trigram=0.0 | spell=0.8978761911291718
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005 | model=lstm | val=5.6484 | test=5.6185 | ppl=275.48 | bleu=3.7353830269883563e-10 | bigram=0.0 | trigram=0.0 | spell=0.8916834508317448
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H128_LR0p001_D0p0_L1 | model=rnn | val=5.7947 | test=5.7603 | ppl=317.45 | bleu=3.4957393124954766e-10 | bigram=0.0 | trigram=0.0 | spell=0.8876722394771687
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K20 | model=attention_lstm | val=5.8220 | test=5.7826 | ppl=324.59 | bleu=3.4979537146689276e-10 | bigram=0.0 | trigram=0.0 | spell=0.873659273010511
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K20 | model=attention_lstm | val=5.8262 | test=5.7895 | ppl=326.84 | bleu=6.230540023102879e-08 | bigram=0.0009090909090909091 | trigram=0.0 | spell=0.8093314235175418
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K10 | model=attention_lstm | val=5.8648 | test=5.8240 | ppl=338.32 | bleu=3.568927899723681e-10 | bigram=0.0 | trigram=0.0 | spell=0.8661366705841141
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K10 | model=attention_lstm | val=5.8699 | test=5.8343 | ppl=341.81 | bleu=3.5919697748365123e-10 | bigram=0.0 | trigram=0.0 | spell=0.8866117997318785
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K5 | model=attention_lstm | val=5.8730 | test=5.8383 | ppl=343.21 | bleu=3.778117633512028e-10 | bigram=0.0 | trigram=0.0 | spell=0.8739145281905657
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K5 | model=attention_lstm | val=5.8779 | test=5.8420 | ppl=344.47 | bleu=3.7245605436824414e-10 | bigram=0.0 | trigram=0.0 | spell=0.8981860941259289
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H256_LR0p0005_D0p0_L1 | model=rnn | val=5.9482 | test=5.9092 | ppl=368.40 | bleu=3.591884418278315e-10 | bigram=0.0 | trigram=0.0 | spell=0.8711347187683272
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p2_LR0p0005 | model=lstm | val=5.9555 | test=5.9161 | ppl=370.98 | bleu=3.814202942795865e-10 | bigram=0.0 | trigram=0.0 | spell=0.9052688738765653
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p3_LR0p001 | model=lstm | val=5.9793 | test=5.9491 | ppl=383.41 | bleu=3.4624054736323493e-10 | bigram=0.0 | trigram=0.0 | spell=0.8691131341536666
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p2_LR0p001 | model=lstm | val=6.4485 | test=6.4181 | ppl=612.82 | bleu=3.788073578228432e-10 | bigram=0.0 | trigram=0.0 | spell=0.8518481692617847
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H256_LR0p001_D0p0_L1 | model=rnn | val=6.6558 | test=6.6133 | ppl=744.91 | bleu=3.7097203811374955e-10 | bigram=0.0 | trigram=0.0 | spell=0.8738839725054683
