run_name,model_name,num_layers,hidden_dim,dropout,learning_rate,seq_length,window_size_k,last_train_loss,best_val_loss,test_loss,test_ppl
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p3_LR0p0005_K20,attention_lstm,2,128,0.3,0.0005,200,20,5.024893242754229,4.8580904492591195,4.80058487322246,121.58150649518444
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p3_LR0p0005_K40,attention_lstm,2,128,0.3,0.0005,200,40,5.0280370763528595,4.842964762113627,4.786826815565637,119.9202352558444
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p2_LR0p0005_K20,attention_lstm,3,128,0.2,0.0005,200,20,4.903561570122215,4.846034104986098,4.791610658393377,120.49528920033524
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p2_LR0p0005_K40,attention_lstm,3,128,0.2,0.0005,200,40,4.909635352063413,4.8364755142545235,4.779749705096161,119.07454256345851
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p3_LR0p0005_K20,attention_lstm,3,128,0.3,0.0005,200,20,5.154050106247199,4.867804258216932,4.809664335301162,122.69042775919392
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p3_LR0p0005_K40,attention_lstm,3,128,0.3,0.0005,200,40,5.1586032454256285,4.863979059145288,4.805629223383003,122.19635564042491
rnn_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p0_LR0p001,rnn,1,128,0.0,0.001,200,,4.6866130075393215,5.498406374940594,5.437816764684935,229.93962275139623
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p2_LR0p001,lstm,1,128,0.2,0.001,200,,4.663992610067692,5.111763217287156,5.057043756141462,157.12532827077166
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p3_LR0p001,lstm,1,128,0.3,0.001,200,,4.824968842660609,5.02278720304804,4.970717270480302,144.13023066371647
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p2_LR0p001,lstm,2,128,0.2,0.001,200,,4.787736480094266,4.863668855833776,4.80843347962314,122.53950644977685
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p3_LR0p001,lstm,2,128,0.3,0.001,200,,5.017364674511917,4.827792460848984,4.772093712519952,118.16638959166796
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p2_LR0p001,lstm,3,128,0.2,0.001,200,,4.866066170444857,4.800981771274678,4.744011069116686,114.89412695180494
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p3_LR0p001,lstm,3,128,0.3,0.001,200,,5.121112752581428,4.843136879309867,4.793850047927919,120.76542744942387
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p2_LR0p001_K20,attention_lstm,1,128,0.2,0.001,200,20,4.403909431507174,5.355338297816156,5.312264078078453,202.80888412468613
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p2_LR0p001_K40,attention_lstm,1,128,0.2,0.001,200,40,4.419272830078019,5.321975134182902,5.280488007932834,196.4657287954578
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p3_LR0p001_K20,attention_lstm,1,128,0.3,0.001,200,20,4.5543002717615115,5.206710484004715,5.166554517286023,175.3097689275897
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p3_LR0p001_K40,attention_lstm,1,128,0.3,0.001,200,40,4.567199553969597,5.17630499909225,5.134618643808832,169.79955341497038
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p2_LR0p001_K20,attention_lstm,2,128,0.2,0.001,200,20,4.6148713544185505,4.920814300046383,4.872924930185147,130.70265448579028
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p2_LR0p001_K40,attention_lstm,2,128,0.2,0.001,200,40,4.619297899629325,4.894564428977596,4.8450723631362225,127.11247991863749
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p3_LR0p001_K20,attention_lstm,2,128,0.3,0.001,200,20,4.84406723701672,4.814871128184124,4.764090023816935,117.2243973292188
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p3_LR0p001_K40,attention_lstm,2,128,0.3,0.001,200,40,4.846558572046222,4.808847489958828,4.754862695595512,116.14770447811574
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p2_LR0p001_K20,attention_lstm,3,128,0.2,0.001,200,20,4.708222519255266,4.824998208643163,4.772522665184067,118.21708825217753
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p2_LR0p001_K40,attention_lstm,3,128,0.2,0.001,200,40,4.71682921749668,4.819098512825456,4.763344886254438,117.13708156269651
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p3_LR0p001_K20,attention_lstm,3,128,0.3,0.001,200,20,4.967334115365709,4.819393821410762,4.763941142553661,117.20694611196984
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p3_LR0p001_K40,attention_lstm,3,128,0.3,0.001,200,40,4.972595205892376,4.824560059528906,4.76215216110951,116.99745250620948
rnn_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p0_LR0p0005,rnn,1,256,0.0,0.0005,200,,4.400656852911218,5.666187848442966,5.615250321555695,274.5821044128628
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p2_LR0p0005,lstm,1,256,0.2,0.0005,200,,4.330186246863293,5.430591353860874,5.381183050769383,217.27917572794954
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p3_LR0p0005,lstm,1,256,0.3,0.0005,200,,4.520804825710573,5.184510232476355,5.136310636233636,170.08709616456173
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L2_D0p2_LR0p0005,lstm,2,256,0.2,0.0005,200,,4.3731571975117625,5.098478215539339,5.0449882036955085,155.2424679001375
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L2_D0p3_LR0p0005,lstm,2,256,0.3,0.0005,200,,4.648841491587156,4.844855991844992,4.792284604922757,120.57652395316356
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L3_D0p2_LR0p0005,lstm,3,256,0.2,0.0005,200,,4.426120536663893,4.9219571997702705,4.86782085203819,130.03723753792937
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L3_D0p3_LR0p0005,lstm,3,256,0.3,0.0005,200,,4.721994343172943,4.762640530183477,4.696755186004035,109.5909925094783
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p2_LR0p0005_K20,attention_lstm,1,256,0.2,0.0005,200,20,3.915869752974108,6.029748629505194,6.0061299779312725,405.90939835248275
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p2_LR0p0005_K40,attention_lstm,1,256,0.2,0.0005,200,40,3.954986711068856,5.944308694010799,5.915272556576588,370.6553134814716
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p3_LR0p0005_K20,attention_lstm,1,256,0.3,0.0005,200,20,4.144053543704434,5.664450581930216,5.63384137624354,279.73462229982584
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L1_D0p3_LR0p0005_K40,attention_lstm,1,256,0.3,0.0005,200,40,4.174815561425751,5.619746172682753,5.586568760710186,266.8185290145955
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L2_D0p2_LR0p0005_K20,attention_lstm,2,256,0.2,0.0005,200,20,4.101946356884756,5.397155087086761,5.339287940774902,208.364289738567
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L2_D0p2_LR0p0005_K40,attention_lstm,2,256,0.2,0.0005,200,40,4.123981493994761,5.319032604138828,5.26395646916715,193.24454689039038
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L2_D0p3_LR0p0005_K20,attention_lstm,2,256,0.3,0.0005,200,20,4.430363907049856,4.994678448542808,4.941429967797602,139.97025948573128
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L2_D0p3_LR0p0005_K40,attention_lstm,2,256,0.3,0.0005,200,40,4.440590844292159,4.959597347824319,4.911962103915556,135.90581430124948
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L3_D0p2_LR0p0005_K20,attention_lstm,3,256,0.2,0.0005,200,20,4.193536995565917,5.156783617167797,5.10572924897827,164.9643267446812
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L3_D0p2_LR0p0005_K40,attention_lstm,3,256,0.2,0.0005,200,40,4.214120765025045,5.125496785351373,5.069902760603416,159.15885008026657
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H256_L3_D0p3_LR0p0005_K20,attention_lstm,3,256,0.3,0.0005,200,20,4.528846355563051,4.872523081568838,4.821529144798802,124.15479636030832
