Final training run: final_rnn_h128_lr0p0005
================================================================================
Run: final_rnn_h128_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_rnn_h128_lr0p0005.pt', model_name='rnn', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.0, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_rnn_h128_lr0p0005_generation')
  Batch 1300/12186 | Avg Train Loss: 4.6037
  Batch 1400/12186 | Avg Train Loss: 4.6023
  Batch 1500/12186 | Avg Train Loss: 4.6010
  Batch 1600/12186 | Avg Train Loss: 4.5996
  Batch 1700/12186 | Avg Train Loss: 4.5977
  Batch 1800/12186 | Avg Train Loss: 4.5965
  Batch 1900/12186 | Avg Train Loss: 4.5951
  Batch 2000/12186 | Avg Train Loss: 4.5932
  Batch 2100/12186 | Avg Train Loss: 4.5917
  Batch 2200/12186 | Avg Train Loss: 4.5902
  Batch 2300/12186 | Avg Train Loss: 4.5889
  Batch 2400/12186 | Avg Train Loss: 4.5875
  Batch 2500/12186 | Avg Train Loss: 4.5859
  Batch 2600/12186 | Avg Train Loss: 4.5844
  Batch 2700/12186 | Avg Train Loss: 4.5832
  Batch 2800/12186 | Avg Train Loss: 4.5819
  Batch 2900/12186 | Avg Train Loss: 4.5805
  Batch 3000/12186 | Avg Train Loss: 4.5790
  Batch 3100/12186 | Avg Train Loss: 4.5779
  Batch 3200/12186 | Avg Train Loss: 4.5764
  Batch 3300/12186 | Avg Train Loss: 4.5748
  Batch 3400/12186 | Avg Train Loss: 4.5734
  Batch 3500/12186 | Avg Train Loss: 4.5720
  Batch 3600/12186 | Avg Train Loss: 4.5708
  Batch 3700/12186 | Avg Train Loss: 4.5693
  Batch 3800/12186 | Avg Train Loss: 4.5680
  Batch 3900/12186 | Avg Train Loss: 4.5666
  Batch 4000/12186 | Avg Train Loss: 4.5653
  Batch 4100/12186 | Avg Train Loss: 4.5639
  Batch 4200/12186 | Avg Train Loss: 4.5626
  Batch 4300/12186 | Avg Train Loss: 4.5613
  Batch 4400/12186 | Avg Train Loss: 4.5601
  Batch 4500/12186 | Avg Train Loss: 4.5587
  Batch 4600/12186 | Avg Train Loss: 4.5574
  Batch 4700/12186 | Avg Train Loss: 4.5561
  Batch 4800/12186 | Avg Train Loss: 4.5549
  Batch 4900/12186 | Avg Train Loss: 4.5535
  Batch 5000/12186 | Avg Train Loss: 4.5523
  Batch 5100/12186 | Avg Train Loss: 4.5508
  Batch 5200/12186 | Avg Train Loss: 4.5497
  Batch 5300/12186 | Avg Train Loss: 4.5483
  Batch 5400/12186 | Avg Train Loss: 4.5471
  Batch 5500/12186 | Avg Train Loss: 4.5458
  Batch 5600/12186 | Avg Train Loss: 4.5445
  Batch 5700/12186 | Avg Train Loss: 4.5433
  Batch 5800/12186 | Avg Train Loss: 4.5421
  Batch 5900/12186 | Avg Train Loss: 4.5409
  Batch 6000/12186 | Avg Train Loss: 4.5396
  Batch 6100/12186 | Avg Train Loss: 4.5384
  Batch 6200/12186 | Avg Train Loss: 4.5371
  Batch 6300/12186 | Avg Train Loss: 4.5360
  Batch 6400/12186 | Avg Train Loss: 4.5347
  Batch 6500/12186 | Avg Train Loss: 4.5336
  Batch 6600/12186 | Avg Train Loss: 4.5324
  Batch 6700/12186 | Avg Train Loss: 4.5311
  Batch 6800/12186 | Avg Train Loss: 4.5300
  Batch 6900/12186 | Avg Train Loss: 4.5289
  Batch 7000/12186 | Avg Train Loss: 4.5276
  Batch 7100/12186 | Avg Train Loss: 4.5265
  Batch 7200/12186 | Avg Train Loss: 4.5254
  Batch 7300/12186 | Avg Train Loss: 4.5243
  Batch 7400/12186 | Avg Train Loss: 4.5232
  Batch 7500/12186 | Avg Train Loss: 4.5221
  Batch 7600/12186 | Avg Train Loss: 4.5210
  Batch 7700/12186 | Avg Train Loss: 4.5199
  Batch 7800/12186 | Avg Train Loss: 4.5187
  Batch 7900/12186 | Avg Train Loss: 4.5176
  Batch 8000/12186 | Avg Train Loss: 4.5164
  Batch 8100/12186 | Avg Train Loss: 4.5153
  Batch 8200/12186 | Avg Train Loss: 4.5142
  Batch 8300/12186 | Avg Train Loss: 4.5131
  Batch 8400/12186 | Avg Train Loss: 4.5121
  Batch 8500/12186 | Avg Train Loss: 4.5110
  Batch 8600/12186 | Avg Train Loss: 4.5099
  Batch 8700/12186 | Avg Train Loss: 4.5088
  Batch 8800/12186 | Avg Train Loss: 4.5078
  Batch 8900/12186 | Avg Train Loss: 4.5068
  Batch 9000/12186 | Avg Train Loss: 4.5056
  Batch 9100/12186 | Avg Train Loss: 4.5046
  Batch 9200/12186 | Avg Train Loss: 4.5035
  Batch 9300/12186 | Avg Train Loss: 4.5025
  Batch 9400/12186 | Avg Train Loss: 4.5014
  Batch 9500/12186 | Avg Train Loss: 4.5004
  Batch 9600/12186 | Avg Train Loss: 4.4993
  Batch 9700/12186 | Avg Train Loss: 4.4983
  Batch 9800/12186 | Avg Train Loss: 4.4972
  Batch 9900/12186 | Avg Train Loss: 4.4963
  Batch 10000/12186 | Avg Train Loss: 4.4952
  Batch 10100/12186 | Avg Train Loss: 4.4943
  Batch 10200/12186 | Avg Train Loss: 4.4933
  Batch 10300/12186 | Avg Train Loss: 4.4922
  Batch 10400/12186 | Avg Train Loss: 4.4911
  Batch 10500/12186 | Avg Train Loss: 4.4901
  Batch 10600/12186 | Avg Train Loss: 4.4892
  Batch 10700/12186 | Avg Train Loss: 4.4882
  Batch 10800/12186 | Avg Train Loss: 4.4872
  Batch 10900/12186 | Avg Train Loss: 4.4862
  Batch 11000/12186 | Avg Train Loss: 4.4851
  Batch 11100/12186 | Avg Train Loss: 4.4842
  Batch 11200/12186 | Avg Train Loss: 4.4832
  Batch 11300/12186 | Avg Train Loss: 4.4823
  Batch 11400/12186 | Avg Train Loss: 4.4813
  Batch 11500/12186 | Avg Train Loss: 4.4804
  Batch 11600/12186 | Avg Train Loss: 4.4794
  Batch 11700/12186 | Avg Train Loss: 4.4785
  Batch 11800/12186 | Avg Train Loss: 4.4775
  Batch 11900/12186 | Avg Train Loss: 4.4765
  Batch 12000/12186 | Avg Train Loss: 4.4756
  Batch 12100/12186 | Avg Train Loss: 4.4746
Epoch 2/4 | Train Loss: 4.4738 | Val Loss: 5.7846 | Val PPL: 325.25 | Time: 1322.7s
  Batch 100/12186 | Avg Train Loss: 4.3471
  Batch 200/12186 | Avg Train Loss: 4.3503
  Batch 300/12186 | Avg Train Loss: 4.3519
  Batch 400/12186 | Avg Train Loss: 4.3518
  Batch 500/12186 | Avg Train Loss: 4.3507
  Batch 600/12186 | Avg Train Loss: 4.3490
  Batch 700/12186 | Avg Train Loss: 4.3485
  Batch 800/12186 | Avg Train Loss: 4.3475
  Batch 900/12186 | Avg Train Loss: 4.3461
  Batch 1000/12186 | Avg Train Loss: 4.3458
  Batch 1100/12186 | Avg Train Loss: 4.3451
  Batch 1200/12186 | Avg Train Loss: 4.3447
  Batch 1300/12186 | Avg Train Loss: 4.3443
  Batch 1400/12186 | Avg Train Loss: 4.3436
  Batch 1500/12186 | Avg Train Loss: 4.3430
  Batch 1600/12186 | Avg Train Loss: 4.3422
  Batch 1700/12186 | Avg Train Loss: 4.3415
  Batch 1800/12186 | Avg Train Loss: 4.3408
  Batch 1900/12186 | Avg Train Loss: 4.3400
  Batch 2000/12186 | Avg Train Loss: 4.3398
  Batch 2100/12186 | Avg Train Loss: 4.3391
  Batch 2200/12186 | Avg Train Loss: 4.3382
  Batch 2300/12186 | Avg Train Loss: 4.3376
  Batch 2400/12186 | Avg Train Loss: 4.3370
  Batch 2500/12186 | Avg Train Loss: 4.3363
  Batch 2600/12186 | Avg Train Loss: 4.3356
  Batch 2700/12186 | Avg Train Loss: 4.3351
  Batch 2800/12186 | Avg Train Loss: 4.3343
  Batch 2900/12186 | Avg Train Loss: 4.3338
  Batch 3000/12186 | Avg Train Loss: 4.3330
  Batch 3100/12186 | Avg Train Loss: 4.3323
  Batch 3200/12186 | Avg Train Loss: 4.3315
  Batch 3300/12186 | Avg Train Loss: 4.3310
  Batch 3400/12186 | Avg Train Loss: 4.3307
  Batch 3500/12186 | Avg Train Loss: 4.3303
  Batch 3600/12186 | Avg Train Loss: 4.3295
  Batch 3700/12186 | Avg Train Loss: 4.3290
  Batch 3800/12186 | Avg Train Loss: 4.3284
  Batch 3900/12186 | Avg Train Loss: 4.3277
  Batch 4000/12186 | Avg Train Loss: 4.3271
  Batch 4100/12186 | Avg Train Loss: 4.3266
  Batch 4200/12186 | Avg Train Loss: 4.3260
