Final training run: final_lstm_l2_h256_d0p3_lr0p001
================================================================================
Run: final_lstm_l2_h256_d0p3_lr0p001
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_lstm_l2_h256_d0p3_lr0p001.pt', model_name='lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=256, num_layers=2, dropout=0.3, window_size_k=5, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_lstm_l2_h256_d0p3_lr0p001_generation')
  Batch 8600/12186 | Avg Train Loss: 4.8804
  Batch 8700/12186 | Avg Train Loss: 4.8801
  Batch 8800/12186 | Avg Train Loss: 4.8798
  Batch 8900/12186 | Avg Train Loss: 4.8794
  Batch 9000/12186 | Avg Train Loss: 4.8790
  Batch 9100/12186 | Avg Train Loss: 4.8786
  Batch 9200/12186 | Avg Train Loss: 4.8783
  Batch 9300/12186 | Avg Train Loss: 4.8779
  Batch 9400/12186 | Avg Train Loss: 4.8776
  Batch 9500/12186 | Avg Train Loss: 4.8772
  Batch 9600/12186 | Avg Train Loss: 4.8769
  Batch 9700/12186 | Avg Train Loss: 4.8766
  Batch 9800/12186 | Avg Train Loss: 4.8763
  Batch 9900/12186 | Avg Train Loss: 4.8760
  Batch 10000/12186 | Avg Train Loss: 4.8757
  Batch 10100/12186 | Avg Train Loss: 4.8754
  Batch 10200/12186 | Avg Train Loss: 4.8750
  Batch 10300/12186 | Avg Train Loss: 4.8747
  Batch 10400/12186 | Avg Train Loss: 4.8744
  Batch 10500/12186 | Avg Train Loss: 4.8740
  Batch 10600/12186 | Avg Train Loss: 4.8738
  Batch 10700/12186 | Avg Train Loss: 4.8734
  Batch 10800/12186 | Avg Train Loss: 4.8732
  Batch 10900/12186 | Avg Train Loss: 4.8728
  Batch 11000/12186 | Avg Train Loss: 4.8726
  Batch 11100/12186 | Avg Train Loss: 4.8722
  Batch 11200/12186 | Avg Train Loss: 4.8719
  Batch 11300/12186 | Avg Train Loss: 4.8716
  Batch 11400/12186 | Avg Train Loss: 4.8713
  Batch 11500/12186 | Avg Train Loss: 4.8710
  Batch 11600/12186 | Avg Train Loss: 4.8707
  Batch 11700/12186 | Avg Train Loss: 4.8703
  Batch 11800/12186 | Avg Train Loss: 4.8700
  Batch 11900/12186 | Avg Train Loss: 4.8698
  Batch 12000/12186 | Avg Train Loss: 4.8695
  Batch 12100/12186 | Avg Train Loss: 4.8692
Epoch 2/4 | Train Loss: 4.8689 | Val Loss: 5.5003 | Val PPL: 244.77 | Time: 1844.3s
  Batch 100/12186 | Avg Train Loss: 4.8286
  Batch 200/12186 | Avg Train Loss: 4.8286
  Batch 300/12186 | Avg Train Loss: 4.8279
  Batch 400/12186 | Avg Train Loss: 4.8268
  Batch 500/12186 | Avg Train Loss: 4.8267
  Batch 600/12186 | Avg Train Loss: 4.8275
  Batch 700/12186 | Avg Train Loss: 4.8277
  Batch 800/12186 | Avg Train Loss: 4.8267
  Batch 900/12186 | Avg Train Loss: 4.8265
  Batch 1000/12186 | Avg Train Loss: 4.8261
  Batch 1100/12186 | Avg Train Loss: 4.8259
  Batch 1200/12186 | Avg Train Loss: 4.8263
  Batch 1300/12186 | Avg Train Loss: 4.8264
  Batch 1400/12186 | Avg Train Loss: 4.8265
  Batch 1500/12186 | Avg Train Loss: 4.8266
  Batch 1600/12186 | Avg Train Loss: 4.8267
  Batch 1700/12186 | Avg Train Loss: 4.8265
  Batch 1800/12186 | Avg Train Loss: 4.8267
  Batch 1900/12186 | Avg Train Loss: 4.8263
  Batch 2000/12186 | Avg Train Loss: 4.8259
  Batch 2100/12186 | Avg Train Loss: 4.8258
  Batch 2200/12186 | Avg Train Loss: 4.8255
  Batch 2300/12186 | Avg Train Loss: 4.8254
  Batch 2400/12186 | Avg Train Loss: 4.8253
  Batch 2500/12186 | Avg Train Loss: 4.8252
  Batch 2600/12186 | Avg Train Loss: 4.8248
  Batch 2700/12186 | Avg Train Loss: 4.8247
  Batch 2800/12186 | Avg Train Loss: 4.8246
  Batch 2900/12186 | Avg Train Loss: 4.8245
  Batch 3000/12186 | Avg Train Loss: 4.8242
  Batch 3100/12186 | Avg Train Loss: 4.8238
  Batch 3200/12186 | Avg Train Loss: 4.8239
  Batch 3300/12186 | Avg Train Loss: 4.8237
  Batch 3400/12186 | Avg Train Loss: 4.8235
  Batch 3500/12186 | Avg Train Loss: 4.8234
  Batch 3600/12186 | Avg Train Loss: 4.8234
  Batch 3700/12186 | Avg Train Loss: 4.8231
  Batch 3800/12186 | Avg Train Loss: 4.8229
  Batch 3900/12186 | Avg Train Loss: 4.8229
  Batch 4000/12186 | Avg Train Loss: 4.8227
  Batch 4100/12186 | Avg Train Loss: 4.8225
  Batch 4200/12186 | Avg Train Loss: 4.8222
  Batch 4300/12186 | Avg Train Loss: 4.8220
  Batch 4400/12186 | Avg Train Loss: 4.8219
  Batch 4500/12186 | Avg Train Loss: 4.8218
  Batch 4600/12186 | Avg Train Loss: 4.8215
  Batch 4700/12186 | Avg Train Loss: 4.8213
  Batch 4800/12186 | Avg Train Loss: 4.8210
  Batch 4900/12186 | Avg Train Loss: 4.8209
  Batch 5000/12186 | Avg Train Loss: 4.8207
  Batch 5100/12186 | Avg Train Loss: 4.8206
  Batch 5200/12186 | Avg Train Loss: 4.8205
  Batch 5300/12186 | Avg Train Loss: 4.8203
  Batch 5400/12186 | Avg Train Loss: 4.8202
  Batch 5500/12186 | Avg Train Loss: 4.8200
  Batch 5600/12186 | Avg Train Loss: 4.8198
  Batch 5700/12186 | Avg Train Loss: 4.8197
  Batch 5800/12186 | Avg Train Loss: 4.8196
  Batch 5900/12186 | Avg Train Loss: 4.8194
  Batch 6000/12186 | Avg Train Loss: 4.8192
  Batch 6100/12186 | Avg Train Loss: 4.8192
  Batch 6200/12186 | Avg Train Loss: 4.8189
  Batch 6300/12186 | Avg Train Loss: 4.8187
  Batch 6400/12186 | Avg Train Loss: 4.8186
  Batch 6500/12186 | Avg Train Loss: 4.8184
  Batch 6600/12186 | Avg Train Loss: 4.8182
  Batch 6700/12186 | Avg Train Loss: 4.8181
  Batch 6800/12186 | Avg Train Loss: 4.8180
  Batch 6900/12186 | Avg Train Loss: 4.8177
  Batch 7000/12186 | Avg Train Loss: 4.8176
  Batch 7100/12186 | Avg Train Loss: 4.8174
  Batch 7200/12186 | Avg Train Loss: 4.8173
  Batch 7300/12186 | Avg Train Loss: 4.8171
  Batch 7400/12186 | Avg Train Loss: 4.8170
  Batch 7500/12186 | Avg Train Loss: 4.8168
  Batch 7600/12186 | Avg Train Loss: 4.8167
  Batch 7700/12186 | Avg Train Loss: 4.8165
  Batch 7800/12186 | Avg Train Loss: 4.8163
  Batch 7900/12186 | Avg Train Loss: 4.8162
  Batch 8000/12186 | Avg Train Loss: 4.8160
  Batch 8100/12186 | Avg Train Loss: 4.8159
  Batch 8200/12186 | Avg Train Loss: 4.8158
  Batch 8300/12186 | Avg Train Loss: 4.8157
  Batch 8400/12186 | Avg Train Loss: 4.8155
  Batch 8500/12186 | Avg Train Loss: 4.8153
  Batch 8600/12186 | Avg Train Loss: 4.8152
  Batch 8700/12186 | Avg Train Loss: 4.8150
  Batch 8800/12186 | Avg Train Loss: 4.8149
  Batch 8900/12186 | Avg Train Loss: 4.8147
  Batch 9000/12186 | Avg Train Loss: 4.8146
  Batch 9100/12186 | Avg Train Loss: 4.8145
  Batch 9200/12186 | Avg Train Loss: 4.8143
  Batch 9300/12186 | Avg Train Loss: 4.8142
  Batch 9400/12186 | Avg Train Loss: 4.8140
  Batch 9500/12186 | Avg Train Loss: 4.8138
  Batch 9600/12186 | Avg Train Loss: 4.8136
  Batch 9700/12186 | Avg Train Loss: 4.8135
  Batch 9800/12186 | Avg Train Loss: 4.8133
  Batch 9900/12186 | Avg Train Loss: 4.8131
  Batch 10000/12186 | Avg Train Loss: 4.8129
  Batch 10100/12186 | Avg Train Loss: 4.8128
  Batch 10200/12186 | Avg Train Loss: 4.8127
  Batch 10300/12186 | Avg Train Loss: 4.8126
  Batch 10400/12186 | Avg Train Loss: 4.8124
  Batch 10500/12186 | Avg Train Loss: 4.8123
  Batch 10600/12186 | Avg Train Loss: 4.8121
  Batch 10700/12186 | Avg Train Loss: 4.8120
  Batch 10800/12186 | Avg Train Loss: 4.8118
