Final training run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
================================================================================
Run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt', model_name='attention_lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=2, dropout=0.3, window_size_k=20, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20_generation')
  Batch 2200/12186 | Avg Train Loss: 5.2610
  Batch 2300/12186 | Avg Train Loss: 5.2609
  Batch 2400/12186 | Avg Train Loss: 5.2603
  Batch 2500/12186 | Avg Train Loss: 5.2601
  Batch 2600/12186 | Avg Train Loss: 5.2597
  Batch 2700/12186 | Avg Train Loss: 5.2592
  Batch 2800/12186 | Avg Train Loss: 5.2588
  Batch 2900/12186 | Avg Train Loss: 5.2582
  Batch 3000/12186 | Avg Train Loss: 5.2577
  Batch 3100/12186 | Avg Train Loss: 5.2574
  Batch 3200/12186 | Avg Train Loss: 5.2570
  Batch 3300/12186 | Avg Train Loss: 5.2566
  Batch 3400/12186 | Avg Train Loss: 5.2562
  Batch 3500/12186 | Avg Train Loss: 5.2560
  Batch 3600/12186 | Avg Train Loss: 5.2555
  Batch 3700/12186 | Avg Train Loss: 5.2551
  Batch 3800/12186 | Avg Train Loss: 5.2547
  Batch 3900/12186 | Avg Train Loss: 5.2543
  Batch 4000/12186 | Avg Train Loss: 5.2539
  Batch 4100/12186 | Avg Train Loss: 5.2535
  Batch 4200/12186 | Avg Train Loss: 5.2532
  Batch 4300/12186 | Avg Train Loss: 5.2529
  Batch 4400/12186 | Avg Train Loss: 5.2524
  Batch 4500/12186 | Avg Train Loss: 5.2520
  Batch 4600/12186 | Avg Train Loss: 5.2516
  Batch 4700/12186 | Avg Train Loss: 5.2512
  Batch 4800/12186 | Avg Train Loss: 5.2509
  Batch 4900/12186 | Avg Train Loss: 5.2507
  Batch 5000/12186 | Avg Train Loss: 5.2504
  Batch 5100/12186 | Avg Train Loss: 5.2500
  Batch 5200/12186 | Avg Train Loss: 5.2497
  Batch 5300/12186 | Avg Train Loss: 5.2493
  Batch 5400/12186 | Avg Train Loss: 5.2489
  Batch 5500/12186 | Avg Train Loss: 5.2486
  Batch 5600/12186 | Avg Train Loss: 5.2483
  Batch 5700/12186 | Avg Train Loss: 5.2478
  Batch 5800/12186 | Avg Train Loss: 5.2476
  Batch 5900/12186 | Avg Train Loss: 5.2473
  Batch 6000/12186 | Avg Train Loss: 5.2469
  Batch 6100/12186 | Avg Train Loss: 5.2466
  Batch 6200/12186 | Avg Train Loss: 5.2462
  Batch 6300/12186 | Avg Train Loss: 5.2460
  Batch 6400/12186 | Avg Train Loss: 5.2457
  Batch 6500/12186 | Avg Train Loss: 5.2454
  Batch 6600/12186 | Avg Train Loss: 5.2450
  Batch 6700/12186 | Avg Train Loss: 5.2447
  Batch 6800/12186 | Avg Train Loss: 5.2444
  Batch 6900/12186 | Avg Train Loss: 5.2440
  Batch 7000/12186 | Avg Train Loss: 5.2437
  Batch 7100/12186 | Avg Train Loss: 5.2433
  Batch 7200/12186 | Avg Train Loss: 5.2430
  Batch 7300/12186 | Avg Train Loss: 5.2427
  Batch 7400/12186 | Avg Train Loss: 5.2423
  Batch 7500/12186 | Avg Train Loss: 5.2420
  Batch 7600/12186 | Avg Train Loss: 5.2417
  Batch 7700/12186 | Avg Train Loss: 5.2413
  Batch 7800/12186 | Avg Train Loss: 5.2409
  Batch 7900/12186 | Avg Train Loss: 5.2407
  Batch 8000/12186 | Avg Train Loss: 5.2403
  Batch 8100/12186 | Avg Train Loss: 5.2401
  Batch 8200/12186 | Avg Train Loss: 5.2397
  Batch 8300/12186 | Avg Train Loss: 5.2394
  Batch 8400/12186 | Avg Train Loss: 5.2391
  Batch 8500/12186 | Avg Train Loss: 5.2388
  Batch 8600/12186 | Avg Train Loss: 5.2386
  Batch 8700/12186 | Avg Train Loss: 5.2383
  Batch 8800/12186 | Avg Train Loss: 5.2379
  Batch 8900/12186 | Avg Train Loss: 5.2375
  Batch 9000/12186 | Avg Train Loss: 5.2373
  Batch 9100/12186 | Avg Train Loss: 5.2370
  Batch 9200/12186 | Avg Train Loss: 5.2367
  Batch 9300/12186 | Avg Train Loss: 5.2364
  Batch 9400/12186 | Avg Train Loss: 5.2361
  Batch 9500/12186 | Avg Train Loss: 5.2358
  Batch 9600/12186 | Avg Train Loss: 5.2355
  Batch 9700/12186 | Avg Train Loss: 5.2352
  Batch 9800/12186 | Avg Train Loss: 5.2349
  Batch 9900/12186 | Avg Train Loss: 5.2346
  Batch 10000/12186 | Avg Train Loss: 5.2343
  Batch 10100/12186 | Avg Train Loss: 5.2341
  Batch 10200/12186 | Avg Train Loss: 5.2338
  Batch 10300/12186 | Avg Train Loss: 5.2335
  Batch 10400/12186 | Avg Train Loss: 5.2332
  Batch 10500/12186 | Avg Train Loss: 5.2329
  Batch 10600/12186 | Avg Train Loss: 5.2327
  Batch 10700/12186 | Avg Train Loss: 5.2324
  Batch 10800/12186 | Avg Train Loss: 5.2321
  Batch 10900/12186 | Avg Train Loss: 5.2318
  Batch 11000/12186 | Avg Train Loss: 5.2315
  Batch 11100/12186 | Avg Train Loss: 5.2312
  Batch 11200/12186 | Avg Train Loss: 5.2310
  Batch 11300/12186 | Avg Train Loss: 5.2307
  Batch 11400/12186 | Avg Train Loss: 5.2304
  Batch 11500/12186 | Avg Train Loss: 5.2301
  Batch 11600/12186 | Avg Train Loss: 5.2299
  Batch 11700/12186 | Avg Train Loss: 5.2295
  Batch 11800/12186 | Avg Train Loss: 5.2293
  Batch 11900/12186 | Avg Train Loss: 5.2290
  Batch 12000/12186 | Avg Train Loss: 5.2287
  Batch 12100/12186 | Avg Train Loss: 5.2285
Epoch 2/4 | Train Loss: 5.2282 | Val Loss: 5.5292 | Val PPL: 251.95 | Time: 1526.7s
Saved best checkpoint to checkpoints/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt
  Batch 100/12186 | Avg Train Loss: 5.1949
  Batch 200/12186 | Avg Train Loss: 5.1965
  Batch 300/12186 | Avg Train Loss: 5.1944
  Batch 400/12186 | Avg Train Loss: 5.1933
  Batch 500/12186 | Avg Train Loss: 5.1943
  Batch 600/12186 | Avg Train Loss: 5.1939
  Batch 700/12186 | Avg Train Loss: 5.1928
  Batch 800/12186 | Avg Train Loss: 5.1922
  Batch 900/12186 | Avg Train Loss: 5.1921
  Batch 1000/12186 | Avg Train Loss: 5.1917
  Batch 1100/12186 | Avg Train Loss: 5.1918
  Batch 1200/12186 | Avg Train Loss: 5.1917
  Batch 1300/12186 | Avg Train Loss: 5.1922
  Batch 1400/12186 | Avg Train Loss: 5.1923
  Batch 1500/12186 | Avg Train Loss: 5.1919
  Batch 1600/12186 | Avg Train Loss: 5.1914
  Batch 1700/12186 | Avg Train Loss: 5.1915
  Batch 1800/12186 | Avg Train Loss: 5.1912
  Batch 1900/12186 | Avg Train Loss: 5.1912
  Batch 2000/12186 | Avg Train Loss: 5.1908
  Batch 2100/12186 | Avg Train Loss: 5.1908
  Batch 2200/12186 | Avg Train Loss: 5.1905
  Batch 2300/12186 | Avg Train Loss: 5.1901
  Batch 2400/12186 | Avg Train Loss: 5.1900
  Batch 2500/12186 | Avg Train Loss: 5.1899
  Batch 2600/12186 | Avg Train Loss: 5.1897
  Batch 2700/12186 | Avg Train Loss: 5.1895
  Batch 2800/12186 | Avg Train Loss: 5.1892
  Batch 2900/12186 | Avg Train Loss: 5.1890
  Batch 3000/12186 | Avg Train Loss: 5.1888
  Batch 3100/12186 | Avg Train Loss: 5.1886
  Batch 3200/12186 | Avg Train Loss: 5.1884
  Batch 3300/12186 | Avg Train Loss: 5.1884
  Batch 3400/12186 | Avg Train Loss: 5.1882
  Batch 3500/12186 | Avg Train Loss: 5.1881
  Batch 3600/12186 | Avg Train Loss: 5.1878
  Batch 3700/12186 | Avg Train Loss: 5.1877
  Batch 3800/12186 | Avg Train Loss: 5.1876
  Batch 3900/12186 | Avg Train Loss: 5.1876
  Batch 4000/12186 | Avg Train Loss: 5.1873
  Batch 4100/12186 | Avg Train Loss: 5.1871
  Batch 4200/12186 | Avg Train Loss: 5.1869
  Batch 4300/12186 | Avg Train Loss: 5.1868
  Batch 4400/12186 | Avg Train Loss: 5.1866
  Batch 4500/12186 | Avg Train Loss: 5.1865
  Batch 4600/12186 | Avg Train Loss: 5.1864
  Batch 4700/12186 | Avg Train Loss: 5.1862
  Batch 4800/12186 | Avg Train Loss: 5.1862
  Batch 4900/12186 | Avg Train Loss: 5.1861
  Batch 5000/12186 | Avg Train Loss: 5.1859
  Batch 5100/12186 | Avg Train Loss: 5.1856
  Batch 5200/12186 | Avg Train Loss: 5.1853
  Batch 5300/12186 | Avg Train Loss: 5.1850
  Batch 5400/12186 | Avg Train Loss: 5.1848
  Batch 5500/12186 | Avg Train Loss: 5.1846
  Batch 5600/12186 | Avg Train Loss: 5.1844
  Batch 5700/12186 | Avg Train Loss: 5.1842
  Batch 5800/12186 | Avg Train Loss: 5.1841
  Batch 5900/12186 | Avg Train Loss: 5.1840
  Batch 6000/12186 | Avg Train Loss: 5.1839
